Loading sequences.
Calculating pairwise edit distance.
232 / 703 > 8821 | cow | randgen3
233 / 703 > 4653 | cow | rat
234 / 703 > 3112 | cow | sheep
235 / 703 > 4603 | cow | squirrel
236 / 703 > 5351 | cow | wallaroo
237 / 703 > 4235 | cow | whiteRhinoceros
238 / 703 > 3681 | dog | donkey
239 / 703 > 4637 | dog | elephant
240 / 703 > 4407 | dog | fatDormouse
241 / 703 > 4643 | dog | finWhale
242 / 703 > 4077 | dog | fruitBat
243 / 703 > 4671 | dog | gibbon
244 / 703 > 4720 | dog | gorilla
245 / 703 > 4616 | dog | graySeal
246 / 703 > 4578 | dog | guineaPig
247 / 703 > 4639 | dog | harborSeal
248 / 703 > 3980 | dog | hippopotamus
249 / 703 > 3626 | dog | horse
250 / 703 > 5374 | dog | human
251 / 703 > 3728 | dog | indianRhinoceros
252 / 703 > 4519 | dog | mouse
253 / 703 > 5131 | dog | opossum
254 / 703 > 4777 | dog | orangutan
255 / 703 > 3693 | dog | pig
256 / 703 > 4627 | dog | pigmyChimpanzee
257 / 703 > 5167 | dog | platypus
258 / 703 > 4491 | dog | rabbit
259 / 703 > 8882 | dog | randgen0
260 / 703 > 8878 | dog | randgen1
261 / 703 > 8928 | dog | randgen2
262 / 703 > 8905 | dog | randgen3
263 / 703 > 4583 | dog | rat
264 / 703 > 3882 | dog | sheep
265 / 703 > 4293 | dog | squirrel
266 / 703 > 4898 | dog | wallaroo
267 / 703 > 3703 | dog | whiteRhinoceros
268 / 703 > 4496 | donkey | elephant
269 / 703 > 4357 | donkey | fatDormouse
270 / 703 > 4283 | donkey | finWhale
271 / 703 > 3855 | donkey | fruitBat
272 / 703 > 4406 | donkey | gibbon
273 / 703 > 4360 | donkey | gorilla
274 / 703 > 4697 | donkey | graySeal
275 / 703 > 4502 | donkey | guineaPig
276 / 703 > 4702 | donkey | harborSeal
277 / 703 > 3576 | donkey | hippopotamus
278 / 703 > 1287 | donkey | horse
279 / 703 > 5061 | donkey | human
280 / 703 > 2909 | donkey | indianRhinoceros
281 / 703 > 4412 | donkey | mouse
282 / 703 > 5095 | donkey | opossum
283 / 703 > 4498 | donkey | orangutan
284 / 703 > 3374 | donkey | pig
285 / 703 > 4376 | donkey | pigmyChimpanzee
286 / 703 > 5168 | donkey | platypus
287 / 703 > 4372 | donkey | rabbit
288 / 703 > 8873 | donkey | randgen0
289 / 703 > 8911 | donkey | randgen1
290 / 703 > 8932 | donkey | randgen2
291 / 703 > 8891 | donkey | randgen3
292 / 703 > 4356 | donkey | rat
293 / 703 > 3692 | donkey | sheep
294 / 703 > 4270 | donkey | squirrel
295 / 703 > 4817 | donkey | wallaroo
296 / 703 > 2878 | donkey | whiteRhinoceros
297 / 703 > 4953 | elephant | fatDormouse
298 / 703 > 5349 | elephant | finWhale
299 / 703 > 4682 | elephant | fruitBat
300 / 703 > 5153 | elephant | gibbon
301 / 703 > 5154 | elephant | gorilla
302 / 703 > 5812 | elephant | graySeal
303 / 703 > 4914 | elephant | guineaPig
304 / 703 > 5849 | elephant | harborSeal
305 / 703 > 4695 | elephant | hippopotamus
306 / 703 > 4479 | elephant | horse
307 / 703 > 5792 | elephant | human
308 / 703 > 4449 | elephant | indianRhinoceros
309 / 703 > 4984 | elephant | mouse
310 / 703 > 5224 | elephant | opossum
311 / 703 > 5228 | elephant | orangutan
312 / 703 > 4443 | elephant | pig
313 / 703 > 5129 | elephant | pigmyChimpanzee
314 / 703 > 5411 | elephant | platypus
315 / 703 > 4794 | elephant | rabbit
316 / 703 > 8936 | elephant | randgen0
317 / 703 > 8961 | elephant | randgen1
318 / 703 > 8982 | elephant | randgen2
319 / 703 > 8954 | elephant | randgen3
320 / 703 > 5002 | elephant | rat
321 / 703 > 4704 | elephant | sheep
322 / 703 > 4842 | elephant | squirrel
323 / 703 > 5181 | elephant | wallaroo
324 / 703 > 4374 | elephant | whiteRhinoceros
325 / 703 > 5113 | fatDormouse | finWhale
326 / 703 > 4413 | fatDormouse | fruitBat
327 / 703 > 4776 | fatDormouse | gibbon
328 / 703 > 4750 | fatDormouse | gorilla
329 / 703 > 5424 | fatDormouse | graySeal
330 / 703 > 4481 | fatDormouse | guineaPig
331 / 703 > 5410 | fatDormouse | harborSeal
332 / 703 > 4447 | fatDormouse | hippopotamus
333 / 703 > 4376 | fatDormouse | horse
334 / 703 > 5500 | fatDormouse | human
335 / 703 > 4351 | fatDormouse | indianRhinoceros
336 / 703 > 4341 | fatDormouse | mouse
337 / 703 > 5106 | fatDormouse | opossum
338 / 703 > 4873 | fatDormouse | orangutan
339 / 703 > 4351 | fatDormouse | pig
340 / 703 > 4731 | fatDormouse | pigmyChimpanzee
341 / 703 > 5214 | fatDormouse | platypus
342 / 703 > 4638 | fatDormouse | rabbit
343 / 703 > 8936 | fatDormouse | randgen0
344 / 703 > 8917 | fatDormouse | randgen1
345 / 703 > 8933 | fatDormouse | randgen2
346 / 703 > 8956 | fatDormouse | randgen3
347 / 703 > 4440 | fatDormouse | rat
348 / 703 > 4283 | fatDormouse | sheep
349 / 703 > 4076 | fatDormouse | squirrel
350 / 703 > 5012 | fatDormouse | wallaroo
351 / 703 > 4377 | fatDormouse | whiteRhinoceros
352 / 703 > 4723 | finWhale | fruitBat
353 / 703 > 5058 | finWhale | gibbon
354 / 703 > 4919 | finWhale | gorilla
355 / 703 > 4116 | finWhale | graySeal
356 / 703 > 5252 | finWhale | guineaPig
357 / 703 > 4116 | finWhale | harborSeal
358 / 703 > 3860 | finWhale | hippopotamus
359 / 703 > 4224 | finWhale | horse
360 / 703 > 4487 | finWhale | human
361 / 703 > 4424 | finWhale | indianRhinoceros
362 / 703 > 4892 | finWhale | mouse
363 / 703 > 5865 | finWhale | opossum
364 / 703 > 4998 | finWhale | orangutan
365 / 703 > 4221 | finWhale | pig
366 / 703 > 5029 | finWhale | pigmyChimpanzee
367 / 703 > 5837 | finWhale | platypus
368 / 703 > 5387 | finWhale | rabbit
369 / 703 > 8842 | finWhale | randgen0
370 / 703 > 8823 | finWhale | randgen1
371 / 703 > 8850 | finWhale | randgen2
372 / 703 > 8837 | finWhale | randgen3
373 / 703 > 4880 | finWhale | rat
374 / 703 > 4115 | finWhale | sheep
375 / 703 > 4797 | finWhale | squirrel
376 / 703 > 5605 | finWhale | wallaroo
377 / 703 > 4389 | finWhale | whiteRhinoceros
378 / 703 > 4808 | fruitBat | gibbon
379 / 703 > 4740 | fruitBat | gorilla
380 / 703 > 5162 | fruitBat | graySeal
381 / 703 > 4600 | fruitBat | guineaPig
382 / 703 > 5171 | fruitBat | harborSeal
383 / 703 > 4130 | fruitBat | hippopotamus
384 / 703 > 3903 | fruitBat | horse
385 / 703 > 5440 | fruitBat | human
386 / 703 > 3949 | fruitBat | indianRhinoceros
387 / 703 > 4487 | fruitBat | mouse
388 / 703 > 5114 | fruitBat | opossum
389 / 703 > 4889 | fruitBat | orangutan
390 / 703 > 3857 | fruitBat | pig
391 / 703 > 4726 | fruitBat | pigmyChimpanzee
392 / 703 > 5204 | fruitBat | platypus
393 / 703 > 4522 | fruitBat | rabbit
394 / 703 > 8913 | fruitBat | randgen0
395 / 703 > 8913 | fruitBat | randgen1
396 / 703 > 8948 | fruitBat | randgen2
397 / 703 > 8926 | fruitBat | randgen3
398 / 703 > 4475 | fruitBat | rat
399 / 703 > 4021 | fruitBat | sheep
400 / 703 > 4311 | fruitBat | squirrel
401 / 703 > 4935 | fruitBat | wallaroo
402 / 703 > 3923 | fruitBat | whiteRhinoceros
403 / 703 > 2765 | gibbon | gorilla
404 / 703 > 5398 | gibbon | graySeal
405 / 703 > 4983 | gibbon | guineaPig
406 / 703 > 5432 | gibbon | harborSeal
407 / 703 > 4424 | gibbon | hippopotamus
408 / 703 > 4405 | gibbon | horse
409 / 703 > 3531 | gibbon | human
410 / 703 > 4458 | gibbon | indianRhinoceros
411 / 703 > 4713 | gibbon | mouse
412 / 703 > 5667 | gibbon | opossum
413 / 703 > 2872 | gibbon | orangutan
414 / 703 > 4508 | gibbon | pig
415 / 703 > 2753 | gibbon | pigmyChimpanzee
416 / 703 > 5609 | gibbon | platypus
417 / 703 > 5021 | gibbon | rabbit
418 / 703 > 8811 | gibbon | randgen0
419 / 703 > 8895 | gibbon | randgen1
420 / 703 > 8888 | gibbon | randgen2
421 / 703 > 8870 | gibbon | randgen3
422 / 703 > 4731 | gibbon | rat
423 / 703 > 4547 | gibbon | sheep
424 / 703 > 4606 | gibbon | squirrel
425 / 703 > 5243 | gibbon | wallaroo
426 / 703 > 4416 | gibbon | whiteRhinoceros
427 / 703 > 5311 | gorilla | graySeal
428 / 703 > 4975 | gorilla | guineaPig
429 / 703 > 5356 | gorilla | harborSeal
430 / 703 > 4326 | gorilla | hippopotamus
431 / 703 > 4370 | gorilla | horse
432 / 703 > 2667 | gorilla | human
433 / 703 > 4428 | gorilla | indianRhinoceros
434 / 703 > 4642 | gorilla | mouse
435 / 703 > 5641 | gorilla | opossum
436 / 703 > 2536 | gorilla | orangutan
437 / 703 > 4464 | gorilla | pig
438 / 703 > 1886 | gorilla | pigmyChimpanzee
439 / 703 > 5603 | gorilla | platypus
440 / 703 > 4948 | gorilla | rabbit
441 / 703 > 8830 | gorilla | randgen0
442 / 703 > 8881 | gorilla | randgen1
443 / 703 > 8881 | gorilla | randgen2
444 / 703 > 8843 | gorilla | randgen3
445 / 703 > 4629 | gorilla | rat
446 / 703 > 4531 | gorilla | sheep
447 / 703 > 4551 | gorilla | squirrel
448 / 703 > 5234 | gorilla | wallaroo
449 / 703 > 4417 | gorilla | whiteRhinoceros
450 / 703 > 5670 | graySeal | guineaPig
451 / 703 > 644 | graySeal | harborSeal
